data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage, cbmaker ,combos,sfiha, kit1 , kit2 ,snack,pastas,dishes,promotion,savory, salads ,range
09/03/2018,SAO PAULO,,0,0,0,0,0,58334,0.4,26.8,19.2,22.08,77.25,3.4,FRI,3,2,3715,406,2200, -   ,3667,31791, 52 , 11 ,1602,493,539,942,12875, 41 ,Range-26
09/04/2018,SAO PAULO,,0,0,0,0,0,39467,0,27.8,18.6,21.88,74.25,6.5,MON,1,2,1840,192,1301, 11 ,1452,24668, 13 , 5 ,867,429,405,0,8247, 37 ,Range-11
09/05/2018,SAO PAULO,,0,0,0,0,0,46068,0,25,15.7,19.34,71.25,9,WED,1,2,2425,245,1428, 26 ,1748,28483, 17 , 1 ,943,469,459,0,9791, 33 ,Range-16
09/06/2018,SAO PAULO,,0,0,0,0,0,62063,0,19.7,12.5,15.82,86.75,0.6,SAT,3,3,4736,500,2351, 51 ,7194,32277, 42 , 12 ,1558,604,697,0,12014, 27 ,Range-34
09/07/2018,SAO PAULO,,0,0,0,0,0,69166,0,25.2,14.7,17.82,72.25,5.4,MON,1,1,4890,580,2351, 68 ,3551,39112, 40 , 13 ,1415,611,623,0,15875, 37 ,Range-35
09/08/2018,SAO PAULO,,0,0,0,0,0,34416,2.2,24.6,15.2,19.06,68.25,8.4,TUR,1,2,2283,183,1316, 55 ,3038,17435, 21 , 2 ,571,351,410,0,8721, 30 ,Range-14
09/09/2018,SAO PAULO,,0,0,0,0,0,53254,0,24.5,13,16.84,73.5,0,SUN,2,2,4119,266,2083, 2 ,5809,28740, 34 , 4 ,1026,618,470,0,10061, 22 ,Range-29
09/10/2018,SAO PAULO,,0,0,0,0,0,32581,15.2,28.3,18.7,23.12,79,0,TUE,1,2,1797,131,1412, 2 ,1886,17958, 22 , -   ,724,294,263,0,8069, 23 ,Range-11
09/11/2018,SAO PAULO,,0,0,0,0,0,63411,4,24.4,16.2,19.6,79.5,4.8,FRI,3,2,4294,274,2506, 2 ,5952,35467, 53 , 10 ,1497,405,419,0,12509, 23 ,Range-30
09/12/2018,SAO PAULO,,0,0,0,0,0,59414,0,26.8,13.4,19.4,62.25,7.9,SUN,2,3,4601,280,2100, 1 ,4843,32994, 42 , 6 ,1528,777,600,0,11620, 22 ,Range-33
10/01/2018,SAO PAULO,,0,0,0,0,0,49405,0.8,29,19,22.84,78.75,5.3,WED,1,3,1972,163,1270, -   ,515,34514, 13 , -   ,959,373,133,0,9442, 51 ,Range-12
10/02/2018,SAO PAULO,,0,0,0,0,0,58473,0,30,20.3,24.02,73.5,5.1,SAT,3,1,2923,425,2222, -   ,3547,32082, 48 , 4 ,1803,629,697,0,14048, 45 ,Range-20
10/03/2018,SAO PAULO,,0,0,0,0,0,68737,0,27.5,20.1,22.44,84.5,2.3,SAT,3,2,4639,472,2484, -   ,4496,38143, 59 , 7 ,1856,707,724,1034,14066, 50 ,Range-33
10/04/2018,SAO PAULO,,0,0,0,0,0,37698,0,28.2,18.3,22.02,68.25,7.9,TUE,1,2,1696,198,1211, 24 ,1253,23966, 15 , 3 ,718,318,296,0,7968, 32 ,Range-10
10/05/2018,SAO PAULO,,0,0,0,0,0,50976,0,26.6,15.9,20.3,65,8.4,TUR,1,2,2506,238,1618, 20 ,1972,31632, 13 , 5 ,1140,500,449,0,10850, 33 ,Range-16
10/06/2018,SAO PAULO,,0,0,0,0,0,49101,0,24.5,14,19.14,83.25,2.3,SUN,2,3,4693,370,2124, 34 ,5416,24024, 55 , 2 ,1399,722,715,0,9503, 44 ,Range-33
10/07/2018,SAO PAULO,,0,0,0,0,0,32794,0,15.6,10.6,12.08,79.5,0.2,TUE,1,1,2085,358,1140, 32 ,1597,18226, 28 , 3 ,554,366,294,0,8098, 13 ,Range-13
10/08/2018,SAO PAULO,,0,0,0,0,0,58492,0,20.7,10.2,15.22,48,9.8,FRI,3,2,3617,298,2182, 110 ,6040,32095, 25 , 8 ,1093,366,511,0,12101, 46 ,Range-25
10/09/2018,SAO PAULO,,0,0,0,0,0,30372,0,25,13.9,17.9,70,0,MON,1,2,2046,123,1232, 1 ,1962,16063, 13 , 2 ,707,316,320,0,7564, 23 ,Range-13
10/10/2018,SAO PAULO,,0,0,0,0,0,40601,1.2,28.6,19.8,22.02,88,0,WED,1,2,2287,124,1581, 3 ,2366,23469, 4 , -   ,812,295,255,0,9389, 16 ,Range-15
10/11/2018,SAO PAULO,,0,0,0,0,0,70217,0,25.3,17.3,20.72,80,1.5,SAT,3,2,4605,351,2550, 2 ,7246,37973, 50 , 8 ,1759,542,529,0,14571, 31 ,Range-33
10/12/2018,SAO PAULO,,0,0,0,0,0,44651,0,30,15.8,23.44,54,8,MON,1,3,2236,124,1582, 1 ,2362,25759, 20 , 3 ,855,312,337,0,11041, 19 ,Range-14
11/01/2018,SAO PAULO,,0,0,0,0,0,50214,18.5,30.2,20,23.68,72.5,3.7,TUR,1,3,2065,200,1446, -   ,521,34451, 8 , 6 ,1103,403,154,0,9821, 36 ,Range-13
11/02/2018,SAO PAULO,,0,0,0,0,0,50517,10.2,31,20.2,25.44,69.5,6.7,SUN,2,1,3475,359,2096, -   ,2961,26408, 29 , 3 ,1498,829,852,0,11944, 63 ,Range-24
11/03/2018,SAO PAULO,,0,0,0,0,0,52208,0.4,31,19.3,24.42,70.25,7.1,SUN,2,2,3998,354,2209, -   ,3089,27433, 41 , 13 ,1464,769,754,1042,11004, 38 ,Range-28
11/04/2018,SAO PAULO,,0,0,0,0,0,41929,0,27.7,18.5,21.88,69,9.1,WED,1,2,2071,174,1356, 17 ,1421,25724, 27 , 3 ,921,401,390,0,9386, 38 ,Range-13
11/05/2018,SAO PAULO,,0,0,0,0,0,66486,0,27.3,15.2,22.06,59.25,7.5,FRI,3,2,4183,575,2742, 18 ,5404,35600, 28 , 6 ,2139,685,605,0,14459, 42 ,Range-29
11/06/2018,SAO PAULO,,0,0,0,0,0,30140,0,27.8,14.9,21.58,71.25,6.2,MON,1,3,1933,162,1183, 4 ,2289,16094, 11 , 3 ,594,386,366,0,7078, 37 ,Range-12
